City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,North Platte,US,41.12,-100.77,51.8,40,1,7.47,clear sky
175,Ponta Do Sol,PT,32.67,-17.1,64.4,68,75,14.99,broken clouds
176,Port-Cartier,CA,50.03,-66.87,21.2,57,0,6.93,clear sky
177,Iguape,BR,-24.71,-47.56,66.15,73,9,4.23,clear sky
178,Boende,CD,-0.22,20.87,71.51,97,59,1.21,broken clouds
179,Araouane,ML,18.9,-3.53,80.74,16,99,8.46,overcast clouds
180,Aykhal,RU,66.0,111.5,-0.4,84,75,2.24,broken clouds
181,High Prairie,CA,55.43,-116.49,44.6,75,100,3.36,overcast clouds
182,Fairbanks,US,64.84,-147.72,-14.8,75,20,1.32,few clouds
183,Haines Junction,CA,60.75,-137.51,1.4,77,100,1.12,light snow
184,Murray Bridge,AU,-35.12,139.27,61.0,95,92,3.0,overcast clouds
185,Dikson,RU,73.51,80.55,3.4,91,0,7.38,clear sky
186,Tsimlyansk,RU,47.65,42.1,48.2,80,75,8.19,light rain
187,Przhevalskoye,RU,55.51,31.85,44.46,90,100,7.67,light rain
188,Felanitx,ES,39.47,3.15,62.6,72,20,10.29,few clouds
189,Salinas,US,36.68,-121.66,57.99,82,1,9.17,clear sky
190,Zapolyarnyy,RU,69.42,30.81,32.0,91,0,9.17,clear sky
191,Leningradskiy,RU,69.38,178.42,5.16,85,10,13.29,clear sky
192,Kearney,US,40.7,-99.08,64.4,27,1,6.93,clear sky
193,Yulara,AU,-25.24,130.99,91.4,26,92,11.41,overcast clouds
194,Warmbad,NA,-28.45,18.73,64.71,53,1,5.75,clear sky
195,Mogadishu,SO,2.04,45.34,78.8,81,100,7.4,overcast clouds
196,Birjand,IR,32.87,59.22,41.0,35,0,9.17,clear sky
197,San Quintin,MX,30.48,-115.95,65.39,82,85,8.23,overcast clouds
198,Osmanabad,IN,18.17,76.05,68.04,57,0,9.73,clear sky
199,Shelburne,CA,44.08,-80.2,39.0,78,7,11.25,clear sky
200,Christchurch,NZ,-43.53,172.63,70.0,56,0,11.41,clear sky
201,Kaniama,CD,-7.57,24.18,65.98,95,100,1.99,overcast clouds
202,Cherskiy,RU,68.75,161.3,-5.13,85,0,2.84,clear sky
203,Comodoro Rivadavia,AR,-45.87,-67.5,55.4,71,0,8.43,clear sky
204,Lacombe,CA,52.47,-113.74,48.2,72,75,2.24,broken clouds
