City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Buraydah,SA,2020-11-02 02:05:22,26.33,43.98,62.6,45,0,6.93
133,Trairi,BR,2020-11-02 02:05:22,-3.28,-39.27,79.34,80,35,11.43
134,Xai-Xai,MZ,2020-11-02 02:05:22,-25.05,33.64,67.78,86,40,2.98
135,Mustang,US,2020-11-02 02:05:22,35.38,-97.72,53.6,43,20,5.82
136,Piqua,US,2020-11-02 02:05:23,40.14,-84.24,34.0,58,14,1.01
137,Salinas,US,2020-11-02 02:05:23,36.68,-121.66,64.4,63,1,10.29
138,Mozarlandia,BR,2020-11-02 02:05:23,-14.74,-50.57,74.62,82,36,2.91
139,Shenjiamen,CN,2020-11-02 02:05:23,29.96,122.3,63.88,81,99,15.68
140,Araouane,ML,2020-11-02 02:04:03,18.9,-3.53,82.22,15,93,6.91
141,Tongren,CN,2020-11-02 02:05:23,27.72,109.19,56.39,76,100,2.77
142,Gwanda,ZW,2020-11-02 02:05:24,-20.93,29.0,66.52,67,100,11.79
143,Batemans Bay,AU,2020-11-02 02:03:34,-35.72,150.18,68.0,69,69,1.99
144,Grande Prairie,CA,2020-11-02 02:05:24,55.17,-118.8,50.0,61,75,8.05
145,Portland,US,2020-11-02 02:05:05,45.52,-122.68,59.0,47,0,3.0
146,Bluff,NZ,2020-11-02 02:05:24,-46.6,168.33,57.0,61,53,10.0
147,Ribeira Grande,PT,2020-11-02 02:05:24,38.52,-28.7,63.07,75,57,18.3
148,Yalta,UA,2020-11-02 02:00:40,44.5,34.17,54.7,71,78,6.58
149,Fuerte Olimpo,PY,2020-11-02 02:05:25,-21.04,-57.87,72.54,57,8,3.83
150,Rio Gallegos,AR,2020-11-02 02:05:25,-51.62,-69.22,51.8,71,0,2.24
151,Sao Pedro Do Sul,BR,2020-11-02 02:05:25,-29.62,-54.18,64.4,68,0,12.75
152,Skibbereen,IE,2020-11-02 02:05:25,51.55,-9.27,44.6,100,75,10.29
153,Cabo San Lucas,MX,2020-11-02 02:02:45,22.89,-109.91,79.0,75,0,6.13
154,Vysokogornyy,RU,2020-11-02 02:05:26,50.12,139.15,35.1,84,94,8.32
155,Revda,RU,2020-11-02 02:05:26,56.8,59.93,28.4,86,90,6.71
156,Meulaboh,ID,2020-11-02 02:05:26,4.14,96.13,78.84,86,100,4.43
157,Lorengau,PG,2020-11-02 02:05:26,-2.02,147.27,87.22,64,38,5.06
158,Mackenzie,CA,2020-11-02 02:05:26,55.3,-123.17,42.8,70,90,10.29
159,Nanortalik,GL,2020-11-02 02:04:30,60.14,-45.24,32.02,89,0,39.35
160,Olafsvik,IS,2020-11-02 02:05:27,64.89,-23.71,35.42,91,96,16.26
161,Banda Aceh,ID,2020-11-02 02:02:06,5.56,95.32,82.58,73,100,8.43
162,Albany,US,2020-11-02 02:00:42,42.6,-73.97,41.0,77,97,8.46
163,Kaitangata,NZ,2020-11-02 02:05:27,-46.28,169.85,55.0,64,96,15.99
164,Mountain Home,US,2020-11-02 02:04:52,43.13,-115.69,51.8,32,1,5.82
165,Khatanga,RU,2020-11-02 02:05:28,71.97,102.5,6.55,95,100,6.82
166,Margate,GB,2020-11-02 02:00:59,51.38,1.39,63.0,85,100,5.99
167,Verkhnevilyuysk,RU,2020-11-02 02:05:28,63.45,120.32,5.22,88,41,8.68
168,Harper,LR,2020-11-02 02:05:28,4.38,-7.72,77.07,90,10,6.02
169,Koppal,IN,2020-11-02 02:05:29,15.35,76.15,71.22,72,2,7.4
170,San Felipe,VE,2020-11-02 02:05:29,10.34,-68.74,74.28,88,100,2.84
171,Bethel,US,2020-11-02 02:05:29,41.37,-73.41,48.2,81,90,11.41
172,Atar,MR,2020-11-02 02:05:29,20.52,-13.05,79.79,18,100,7.78
173,Chokurdakh,RU,2020-11-02 02:04:27,70.63,147.92,-0.51,93,100,12.08
174,Tainan,TW,2020-11-02 02:05:29,22.99,120.21,80.6,74,75,1.12
175,Santa Maria,BR,2020-11-02 02:05:30,-29.68,-53.81,64.4,68,0,12.75
176,Pacific Grove,US,2020-11-02 02:04:03,36.62,-121.92,63.0,72,1,3.83
177,Ibatiba,BR,2020-11-02 02:05:30,-20.23,-41.51,56.32,92,81,4.79
178,Labuhan,ID,2020-11-02 02:05:30,-6.88,112.21,83.7,70,100,6.53
179,Hailar,CN,2020-11-02 02:05:30,49.2,119.7,18.32,81,100,17.87
180,Yellowknife,CA,2020-11-02 02:04:32,62.46,-114.35,12.2,85,75,18.34
181,Filadelfia,US,2020-11-02 02:05:19,39.95,-75.16,48.2,66,75,11.41
182,Hami,CN,2020-11-02 02:05:31,42.8,93.45,45.54,47,5,7.29
183,Krivodol,BG,2020-11-02 02:05:31,43.37,23.48,49.19,50,98,3.69
184,Alofi,NU,2020-11-02 02:04:39,-19.06,-169.92,78.8,83,75,17.22
185,Samarai,PG,2020-11-02 02:05:32,-10.62,150.67,83.71,74,69,10.16
186,Tamandare,BR,2020-11-02 02:05:32,-8.76,-35.1,77.02,84,71,9.98
187,Sosnovo-Ozerskoye,RU,2020-11-02 02:05:32,52.52,111.54,15.37,85,1,7.38
188,Sao Filipe,CV,2020-11-02 02:04:36,14.9,-24.5,78.51,78,100,8.05
189,Pevek,RU,2020-11-02 02:04:21,69.7,170.31,13.93,96,100,8.25
190,Carutapera,BR,2020-11-02 02:05:32,-1.2,-46.02,77.99,84,37,5.5
191,Flinders,AU,2020-11-02 02:01:11,-34.58,150.86,72.0,64,95,4.0
192,Khasan,RU,2020-11-02 02:05:33,42.43,130.64,46.51,48,0,16.31
193,Kirakira,SB,2020-11-02 02:05:33,-10.45,161.92,78.69,87,99,8.19
194,Milkovo,RU,2020-11-02 02:05:33,54.72,158.62,35.96,82,64,1.45
195,Spokane,US,2020-11-02 02:05:33,47.62,-117.37,48.2,65,1,2.24
196,Truro,GB,2020-11-02 02:05:34,50.27,-5.05,59.0,93,100,31.09
197,Sur,OM,2020-11-02 02:05:34,22.57,59.53,69.21,34,0,0.67
198,Buta,CD,2020-11-02 02:05:34,2.79,24.73,69.66,98,100,1.61
199,Saskylakh,RU,2020-11-02 02:05:34,71.92,114.08,-8.32,89,91,10.54
200,Mahon,ES,2020-11-02 02:05:34,39.89,4.27,64.4,82,0,6.93
201,General Roca,AR,2020-11-02 02:05:35,-39.03,-67.58,75.2,44,0,3.36
202,Khandyga,RU,2020-11-02 02:05:35,62.67,135.6,-5.53,82,0,2.15
203,Upernavik,GL,2020-11-02 02:05:35,72.79,-56.15,16.47,92,99,3.4
204,Seminole,US,2020-11-02 02:01:36,28.71,-81.21,73.99,94,90,9.17
205,Zharkent,KZ,2020-11-02 02:05:35,44.16,80.0,39.2,60,0,3.22
206,Hayden,US,2020-11-02 02:05:36,47.77,-116.79,44.6,63,1,9.17
207,Severo-Kurilsk,RU,2020-11-02 02:04:34,50.68,156.12,44.11,72,19,10.69
208,Birao,CF,2020-11-02 02:01:33,10.28,22.79,73.06,43,20,1.43
209,Te Anau,NZ,2020-11-02 02:01:10,-45.42,167.72,60.64,39,17,0.89
210,Tupik,RU,2020-11-02 02:05:37,54.43,119.93,10.58,78,35,14.14
211,Comodoro Rivadavia,AR,2020-11-02 02:05:37,-45.87,-67.5,66.2,63,0,4.14
212,Sturgeon Bay,US,2020-11-02 02:05:37,44.83,-87.38,32.0,87,1,14.99
213,Port Augusta,AU,2020-11-02 02:02:32,-32.5,137.77,86.0,27,26,14.99
214,Antofagasta,CL,2020-11-02 02:01:04,-23.65,-70.4,59.0,82,40,10.29
215,Umm Kaddadah,SD,2020-11-02 02:05:37,13.6,26.69,78.37,25,18,22.28
216,Aksu,CN,2020-11-02 02:05:38,41.12,80.26,38.86,63,0,1.41
217,Aljezur,PT,2020-11-02 02:05:38,37.32,-8.8,62.85,89,57,6.06
218,Yulara,AU,2020-11-02 02:01:10,-25.24,130.99,91.4,11,0,13.87
219,Uvalde,US,2020-11-02 02:05:38,29.37,-99.77,68.0,40,1,6.93
220,Xining,CN,2020-11-02 02:05:38,36.62,101.77,34.99,71,0,1.14
221,Awjilah,LY,2020-11-02 02:05:39,29.11,21.29,61.88,65,20,4.34
222,Harrisburg,US,2020-11-02 02:01:27,40.27,-76.88,48.2,49,75,17.22
223,Belcista,MK,2020-11-02 02:05:39,41.3,20.83,47.93,69,96,2.28
224,Victoria,HK,2020-11-02 02:00:52,22.29,114.16,80.01,61,100,1.01
225,Pokhara,NP,2020-11-02 02:01:19,28.23,83.98,71.56,40,0,2.51
226,Miles City,US,2020-11-02 02:00:48,46.41,-105.84,50.0,39,1,5.82
227,Pangkalanbuun,ID,2020-11-02 02:05:40,-2.68,111.62,85.57,70,98,3.11
228,Warri,NG,2020-11-02 02:05:40,5.52,5.75,75.6,96,55,2.33
229,Bitung,ID,2020-11-02 02:05:40,1.45,125.18,86.0,62,40,6.93
230,Quatre Cocos,MU,2020-11-02 02:05:40,-20.21,57.76,69.01,100,20,4.7
